time,dengue_cases,denv_1,denv_2,denv_3,denv_4,Mean Temperature (°C),Mean Wind Speed (km/h),Daily Rainfall Total (mm),Maximum Temperature (°C),Max Wind Speed (km/h),Minimum Temperature (°C),recent_cases_in_cluster_central,recent_cases_in_cluster_east,recent_cases_in_cluster_north,recent_cases_in_cluster_north-east,recent_cases_in_cluster_west,google_trends
2019-09-29,243,0.031,0.656,0.257,0.055,28.442857142857143,8.885714285714284,3.057142857142857,34.3,47.2,22.9,59.0,88.0,22.0,65.0,42.0,31
2019-10-06,227,0.058,0.563,0.332,0.047,27.67142857142857,8.957142857142857,2.2857142857142856,33.9,51.8,22.9,46.0,63.0,14.0,49.0,43.0,30
2019-10-13,239,0.058,0.563,0.332,0.047,28.32857142857143,7.928571428571429,1.8,33.8,38.2,23.6,31.0,57.0,7.0,63.0,43.0,36
2019-10-20,241,0.058,0.563,0.332,0.047,28.87142857142857,8.7,1.1428571428571428,34.4,48.6,26.0,17.0,65.0,12.0,77.0,31.0,32
2019-10-27,306,0.058,0.563,0.332,0.047,27.77142857142857,6.371428571428572,18.057142857142857,33.3,36.4,23.1,22.0,75.0,12.0,98.0,32.0,30
2019-11-03,321,0.027,0.576,0.299,0.098,28.1,6.628571428571428,4.285714285714286,33.4,45.4,22.9,37.0,67.0,11.0,113.0,60.0,37
2019-11-10,372,0.027,0.576,0.299,0.098,28.77142857142857,7.042857142857143,0.7714285714285714,33.7,39.2,24.0,48.0,54.0,6.0,124.0,95.0,40
2019-11-17,328,0.027,0.576,0.299,0.098,28.428571428571427,6.957142857142857,0.1714285714285714,34.4,37.4,24.7,35.0,68.0,6.0,156.0,114.0,34
2019-11-24,295,0.027,0.576,0.299,0.098,26.985714285714288,6.9,3.2,34.0,33.5,24.2,24.0,77.0,4.0,182.0,110.0,35
2019-12-01,280,0.049,0.451,0.407,0.093,27.714285714285715,7.357142857142857,13.371428571428572,33.0,34.9,24.0,26.0,59.0,3.0,167.0,76.0,30
2019-12-08,257,0.049,0.451,0.407,0.093,27.47142857142857,12.0,8.971428571428572,31.9,42.8,23.9,25.0,49.0,3.0,142.0,64.0,29
2019-12-15,226,0.049,0.451,0.407,0.093,24.914285714285715,7.471428571428571,43.4,31.1,41.8,22.7,20.0,48.0,7.0,96.0,62.0,32
2019-12-22,290,0.049,0.451,0.407,0.093,26.5,7.6571428571428575,7.442857142857142,31.1,37.4,23.2,18.0,38.0,12.0,82.0,66.0,33
