time,dengue_cases,denv_1,denv_2,denv_3,denv_4,Mean Temperature (°C),Mean Wind Speed (km/h),Daily Rainfall Total (mm),Maximum Temperature (°C),Max Wind Speed (km/h),Minimum Temperature (°C),google_trends,s_ratio,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12
2020-02-23,373,0.177,0.269,0.474,0.081,27.87142857142857,10.228571428571428,3.4,32.8,35.3,24.2,53.0,0.7388754525429574,1,0,0,0,0,0,0,0,0,0,0
2020-03-01,375,0.177,0.269,0.474,0.081,27.82857142857143,14.3,3.142857142857143,33.1,46.4,24.1,38.0,0.7385791005869692,0,1,0,0,0,0,0,0,0,0,0
2020-03-08,389,0.134,0.316,0.43,0.12,28.085714285714285,13.928571428571429,0.6571428571428571,32.7,45.7,25.1,39.0,0.7331959547698018,0,1,0,0,0,0,0,0,0,0,0
2020-03-15,367,0.134,0.316,0.43,0.12,28.27142857142857,10.085714285714284,5.714285714285714,33.9,36.7,24.3,36.0,0.7329158178932846,0,1,0,0,0,0,0,0,0,0,0
2020-03-22,377,0.134,0.316,0.43,0.12,29.0,11.0,0.0,34.0,39.6,25.2,34.0,0.7327426052674184,0,1,0,0,0,0,0,0,0,0,0
2020-03-29,315,0.134,0.316,0.43,0.12,28.47142857142857,11.328571428571427,6.971428571428571,33.7,44.6,24.4,42.0,0.7323556295558181,0,1,0,0,0,0,0,0,0,0,0
2020-04-05,341,0.134,0.316,0.43,0.12,28.6,9.971428571428572,2.857142857142857,33.6,37.1,24.1,32.0,0.7322620485697218,0,0,1,0,0,0,0,0,0,0,0
2020-04-12,360,0.06,0.393,0.426,0.121,29.12857142857143,9.771428571428572,8.142857142857142,34.6,42.6,24.0,30.0,0.7193895217887438,0,0,1,0,0,0,0,0,0,0,0
2020-04-19,399,0.06,0.393,0.426,0.121,28.52857142857143,8.285714285714286,3.942857142857143,33.2,37.0,23.8,28.0,0.7192241589968551,0,0,1,0,0,0,0,0,0,0,0
2020-04-26,390,0.06,0.393,0.426,0.121,29.585714285714285,10.014285714285716,0.0,33.9,37.0,26.4,41.0,0.7188805523718589,0,0,1,0,0,0,0,0,0,0,0
2020-05-03,502,0.06,0.393,0.426,0.121,28.857142857142858,7.714285714285714,1.5714285714285714,34.3,33.3,25.1,35.0,0.7189149781486928,0,0,0,1,0,0,0,0,0,0,0
2020-05-10,524,0.054,0.534,0.294,0.118,27.8,5.828571428571428,16.54285714285714,33.1,35.2,24.4,38.0,0.6880736788986708,0,0,0,1,0,0,0,0,0,0,0
2020-05-17,618,0.054,0.534,0.294,0.118,29.0,7.8,15.028571428571428,34.5,42.6,23.6,48.0,0.6879586867541628,0,0,0,1,0,0,0,0,0,0,0
2020-05-24,731,0.054,0.534,0.294,0.118,29.12857142857143,9.128571428571428,10.285714285714286,32.8,46.3,24.6,45.0,0.6878322958208047,0,0,0,1,0,0,0,0,0,0,0
2020-05-31,868,0.054,0.534,0.294,0.118,28.857142857142858,6.171428571428572,4.542857142857143,34.0,33.3,24.9,46.0,0.6876993316520634,0,0,0,1,0,0,0,0,0,0,0
2020-06-07,1151,0.054,0.534,0.294,0.118,29.17142857142857,7.242857142857142,3.314285714285714,33.5,37.0,23.8,61.0,0.687927241975515,0,0,0,0,1,0,0,0,0,0,0
2020-06-14,1369,0.042,0.49,0.362,0.106,28.11428571428572,7.085714285714286,14.342857142857143,33.0,35.2,24.0,75.0,0.6964393346474649,0,0,0,0,1,0,0,0,0,0,0
2020-06-21,1460,0.042,0.49,0.362,0.106,28.585714285714285,8.819275041667073,4.571428571428571,33.0,50.0,24.2,86.0,0.6956099617873823,0,0,0,0,1,0,0,0,0,0,0
2020-06-28,1444,0.042,0.49,0.362,0.106,27.642857142857142,6.228571428571429,6.942857142857142,32.3,37.0,23.7,94.0,0.6944137959541051,0,0,0,0,1,0,0,0,0,0,0
2020-07-05,1665,0.042,0.49,0.362,0.106,27.885714285714283,9.414285714285716,6.342857142857143,32.0,42.6,23.7,87.0,0.6939653276814868,0,0,0,0,0,1,0,0,0,0,0
2020-07-12,1725,0.034,0.44,0.406,0.121,28.842857142857145,11.428571428571429,1.4857142857142858,32.4,35.2,24.6,76.0,0.7059235792040945,0,0,0,0,0,1,0,0,0,0,0
2020-07-19,1791,0.034,0.44,0.406,0.121,27.65714285714285,7.685714285714285,3.3142857142857145,32.1,37.0,24.5,89.0,0.7048261570465125,0,0,0,0,0,1,0,0,0,0,0
